Payment Execution Date,Payment Modification Date and Time,Payment Creation Date and Time,Payment Authorisation Date and Time,Payment File Format/Channel,Ordering Bank (Swift Code or Local Bank Code),Ordering Account Number,Client Entity Name,Beneficiary Account Number,Beneficiary Name,Beneficiary Address,Beneficiary Bank (Swift Code or Local Bank Code),Beneficiary Country,Instruction/Payment Type,Payment Amount,Payment Currency,Remittance Advice,Connexis User ID (Maker),Connexis User ID (Authoriser),User Country Geo-Location,User last successful login date/time
2014-05-05 01:07:37,2013-07-05 02:28:54,1976-04-04 18:37:45,1975-06-28 18:25:25,doc,GB32FCOM51857470795035,3575248704749021,Chelsea Moore,180065353968410,Michael Johnson,"059 Brown Causeway
Wilcoxhaven, PA 83212",GB62CQAW26102496646394,Guam,,4358.981062564239,"('VEF', 'Venezuelan bolívar')",,aarondeleon,fergusondevin,Nauru,2018-09-07 14:00:40
1976-12-19 10:53:12,1990-02-06 18:00:04,1991-11-07 06:56:02,1998-12-17 13:15:24,html,GB69PNVR38486877902585,4993808018685,Danielle Guerrero,4389660274218530,Donna Mason,"USS Vasquez
FPO AA 79097",GB45TXWF23354018285790,United States Minor Outlying Islands,,4694.808212366239,"('KWD', 'Kuwaiti dinar')",,rachelwelch,henrytyler,Pitcairn Islands,2010-10-18 19:56:02
2018-12-17 05:52:26,2017-03-08 23:22:13,1972-12-27 21:07:59,1990-07-07 08:30:41,mp4,GB77LMZS07962893045398,4437616641622855,Jason Fritz,4129504712186,Amber Bailey,"5989 Yvette Alley Apt. 492
Port Katieberg, UT 17020",GB17YRVS45430640778779,Liberia,,1685.373490778843,"('TND', 'Tunisian dinar')",,matthewrodriguez,weeksjason,Somalia,1982-01-14 12:06:00
1977-04-04 12:16:22,2003-01-26 23:33:58,1995-01-10 04:48:51,1986-07-29 20:34:27,docx,GB95UAEV23227516834396,6509257448073329,William Green,503864525269,Jennifer Arnold,"8852 Rebecca Lock Apt. 184
Bullockville, IN 57757",GB89AJCA86758054908956,Estonia,,759.1823169193432,"('CAD', 'Canadian dollar')",,spatton,christianlewis,Mozambique,1982-07-11 06:32:18
2016-02-27 10:51:06,2017-07-23 23:19:35,2002-11-21 23:00:26,2013-11-16 08:40:32,png,GB42ILAE56124110881608,3573532101962473,William Rocha,3569488336735141,Laura Livingston PhD,"684 Darlene Wells
Colleenfurt, OK 33489",GB80TRSR15569209372470,Jersey,,1925.252061363828,"('PGK', 'Papua New Guinean kina')",,cwilliams,elizabeth22,Norway,2018-06-13 10:08:39
1972-12-03 18:20:15,1996-05-25 16:52:43,1978-05-03 11:34:47,2000-10-07 01:14:32,mov,GB65UYZS48028904107054,4303638581391,Sharon Newman,4779254681761627,Christina Smith,"686 Thompson Lakes
Rossport, DC 87943",GB21QBSM43175298881673,Christmas Island,,3232.1626291982325,"('MOP', 'Macanese pataca')",,eric02,laurengarcia,Montenegro,2016-01-05 02:51:50
1999-04-04 18:24:15,1987-06-26 20:27:30,2011-12-22 14:21:09,2013-01-17 13:24:52,mp4,GB44BCCK84095082623212,3549386261726579,Jason Mann,060446552238,Mary Matthews,"108 Steven Cove
Port Catherineburgh, CA 33421",GB27QGDR63012713451523,Papua New Guinea,,2015.3628744457833,"('HUF', 'Hungarian forint')",,joshua87,garrettelizabeth,Brunei Darussalam,1984-04-22 02:57:26
1988-01-29 09:18:11,1998-09-18 13:09:30,1974-05-26 08:06:39,1980-10-07 18:59:19,jpg,GB16FXVM55462414889630,503807757045,Daniel Butler,6542615276751333,Tyler Nicholson,"991 Dominic Station Apt. 788
Cunninghamview, IA 18458",GB53TELR09966749137637,Kuwait,,8969.589605300998,"('BHD', 'Bahraini dinar')",,natasha19,mtodd,Anguilla,2014-12-20 10:14:32
2011-07-14 11:23:54,2016-04-05 21:41:41,1985-03-30 02:29:26,1974-05-12 20:09:24,jpeg,GB88IPAV46094179841350,342991754394929,Amanda Baker,4661083290122048459,Angela Jarvis,"PSC 5499, Box 1240
APO AP 00804",GB85VOOJ33321479997416,Lebanon,,1630.9541072975294,"('PHP', 'Philippine peso')",,belljohn,alexagraves,Saint Kitts and Nevis,1989-05-28 07:00:20
1980-07-16 09:28:58,1985-03-12 10:16:06,1973-11-03 02:48:40,2013-03-07 03:41:41,css,GB55DFEZ43778306462639,3511462801925627,Brandy Gibson,3528650812326857,Ralph Miller,"3327 Lori Lodge
Sanchezburgh, DC 26530",GB75SHZV07615840586700,Lesotho,,3305.1297983130794,"('SYP', 'Syrian pound')",,ericcook,stephanie01,Taiwan,2002-06-18 13:02:58
1980-04-30 23:32:39,2001-10-09 15:55:58,1980-08-23 16:48:22,1977-08-01 16:47:18,jpeg,GB45OPPL83685541804427,6579896101550118,Jessica Murphy,3570010089430485,Alicia Phillips,"92526 Lucero Fork Apt. 841
Duncanland, WI 20020",GB05KYVX60127937283828,Norfolk Island,,13665.83814162959,"('GYD', 'Guyanese dollar')",,tammy14,ohines,Aruba,1974-04-27 15:41:51
1998-09-09 11:43:20,1999-03-09 22:02:15,2014-02-23 19:38:42,1978-03-14 12:59:46,pptx,GB30PPJP43420619892161,2381802934779566,Ashley Cook,3593467681850374,Brandon Johnson,"8495 Morales Meadows
Tuckerborough, MA 80567",GB94GEKA13812422035597,Tunisia,,5865.860123090942,"('BZD', 'Belize dollar')",,bennettdavid,thomascarol,Malaysia,1999-06-27 09:45:54
2015-04-02 18:07:54,1972-07-30 23:28:38,1991-12-17 09:03:00,1993-11-10 07:32:25,jpeg,GB26EJMP17177145062241,30258003667951,Todd Hampton,4145748866504691,Lee Baker,"2380 Kyle Fall Suite 197
Danabury, RI 67486",GB25MKZR98983370686334,Christmas Island,,1786.8309173641371,"('GHS', 'Ghanaian cedi')",,salinasmarie,tshaffer,Estonia,2004-08-23 04:27:06
